TCGA_barcode_TPM,ENSG00000163631,ENSG00000158874,ENSG00000198804,ENSG00000198938,ENSG00000198712,ENSG00000198899,ENSG00000087086,ENSG00000198886,ENSG00000197249,ENSG00000228253
TCGA-YA-A8S7-01A-11R-A37K-07,14805.19141,581.545227,11056.31152,10156.76953,6147.711914,8168.715332,35172.9375,6037.933105,16378.29688,6294.639648
TCGA-K7-AAU7-01A-11R-A38B-07,13902.36914,3670.872314,31777.24609,23063.34961,22341.66406,26722.38086,12276.86621,20228.43555,18253.93945,23386.46484
TCGA-K7-A5RF-01A-11R-A28V-07,90927.8125,21308.97266,16487.54297,13255.26367,13280.28125,13429.75879,10000.93262,10343.34473,20516.41406,7196.725586
TCGA-DD-A1EA-01A-11R-A131-07,9631.65918,12639.06738,29707.9707,20586.87695,18496.93945,22753.35352,10730.06543,16590.9707,14661.58984,17118.74414
TCGA-BW-A5NO-01A-11R-A27V-07,53202.14844,22409.58789,9336.549805,10098.07129,12870.81543,7536.060059,8755.021484,7524.412598,8457.729492,3948.825195
TCGA-DD-AACN-01A-11R-A41C-07,16123.15137,16040.50293,17209.96875,10469.75,9189.71875,7421.320312,7398.726074,6605.161621,13260.9502,6488.233887
TCGA-DD-AAVZ-01A-11R-A41C-07,31929.03906,44234.77734,17683.84961,14060.89453,9816.727539,11468.51074,16904.04297,10278.27148,22448.58203,8687.970703
TCGA-G3-A7M5-01A-11R-A33R-07,73728.79688,27500.73633,19187.80859,18140.45508,13356.92188,13445.74609,10388.03711,10595.67285,6584.149902,5247.993652
TCGA-DD-A39W-01A-11R-A213-07,73072.875,18184.90625,17978.4707,22458.55078,14578.70215,22946.79297,30380.49414,14252.04883,19520.46094,13908.63867
TCGA-DD-A11A-01A-11R-A131-07,65896.0625,25376.06055,18346.29297,16334.31055,13938.68555,18318.69141,12268.24121,16765.61133,7113.558105,15236.27246
TCGA-DD-A4NK-01A-11R-A28V-07,36338.60938,18478.61523,33085.85547,23471.58203,16870.61133,20465.01563,5383.898438,18857.46094,7348.433105,16046.17969
TCGA-DD-AADJ-01A-11R-A41C-07,44964.26172,49856.3125,16694.90625,13223.47949,11362.28711,9068.426758,28761.12695,5955.610352,21977.77344,3849.069336
TCGA-DD-A3A7-01A-11R-A22L-07,59876.48438,46285.10938,11112.90527,12382.82031,20839.46875,14970.86523,38362.73047,10189.91504,9060.399414,1194.525757
TCGA-DD-A4NI-01A-11R-A27V-07,76990.85156,8903.728516,40206.07422,27289.64258,35494.80469,38666.10156,9273.642578,37853.89844,12860.26074,30158.52734
