ENSG,ENSG00000198804.2,ENSG00000198938.2,ENSG00000198886.2,ENSG00000198712.1,ENSG00000210082.2,ENSG00000198727.2,ENSG00000198899.2,ENSG00000198763.3,ENSG00000198888.2,ENSG00000212907.2
TCGA-BR-A4J8-01A,35903.9102685,37518.1175642,22573.7991828,33451.8493229,27203.1479835,23485.6711636,18967.7328956,15811.099630399998,11232.3581946,11310.4245266
TCGA-D7-6519-01A,13252.3992728,15541.852280200002,6300.89040299,9363.33358319,10921.0262301,5767.66046977,7067.82768567,3489.63371167,6089.61507784,3365.25049182
TCGA-HU-8608-01A,5537.01374166,2532.99425586,3378.03450918,2379.09419128,3193.28295727,1191.34100629,1547.83633962,1459.73388712,1889.11280184,1313.37126598
TCGA-CG-4304-01A,29147.1059052,16181.1057239,29887.778481,30631.0092417,10488.7329746,17656.911547099997,11902.7705995,14292.9561394,16321.267039200002,12197.40636
TCGA-BR-8682-01A,15274.1511533,14072.6049394,15394.3193132,10580.474538200002,9387.82617085,11215.2389706,8716.12204053,14755.3360239,12194.2645973,5917.75419772
TCGA-CG-5730-11A,27222.9514934,25986.556404,15817.466856,24751.4452724,22011.841471400006,11048.9708949,13962.4945496,7525.78065173,8993.69639481,7796.91201126
TCGA-CG-4306-01A,12321.0880761,6155.19792649,13369.8666291,9709.29177449,6182.4209357,6309.89121205,6772.72944566,5917.67305717,8292.88431697,8649.68031111
TCGA-BR-7704-11A,11170.0589202,6934.45891557,5664.39094338,5008.72132528,5855.10231869,5489.66321594,3468.23816133,3178.77819,3692.39542963,2311.52614365
TCGA-MX-A663-01A,18489.6954395,11625.997404000002,11267.7996014,9322.33302384,9245.73501031,9592.92166018,6487.72407724,8472.50927234,6940.23236432,2407.86339881
TCGA-BR-7851-11A,30841.1224025,21382.1315932,18541.7774351,22174.811349,15509.333305200002,13057.8045019,9956.67636644,10126.8326482,9526.36596106,9292.42173162
TCGA-VQ-A8PB-01A,16376.9772199,17926.592570200002,14146.1565588,15776.6679016,9027.38193499,9654.30104284,8085.53153649,4543.09691942,4591.55791673,8109.86283269
TCGA-VQ-A8PU-01A,10637.6034691,10176.600341299998,11357.0867244,10313.510236700002,6822.26647653,9437.41630155,6898.54998367,5159.53632767,4442.75015441,3443.18963517
TCGA-IN-AB1X-11A,18796.9595305,10299.628564899998,9677.94368914,6193.60722765,6478.26627049,7792.029182699999,4788.16765396,4479.1274957,4924.75442283,3046.8189538
TCGA-F1-6874-01A,9440.07339375,3701.74525415,4417.66431736,8703.53576778,7371.51021726,3249.1223901,3140.76545215,1738.68061529,690.2566472369998,2382.81122124
TCGA-VQ-A91Z-01A,8678.44275995,9707.71865005,9282.03943695,7227.88248434,8280.16706112,8869.02755815,7542.22080906,8151.87484659,3212.31483146,3805.9480037
TCGA-VQ-A94P-01A,15407.0627404,12827.8097652,16440.8974778,9294.03500962,8891.46353862,11582.6758557,6762.56449263,5565.65505307,5560.60016693,5353.46773604
