TCGA_barcode_TPM,ENSG00000198712,ENSG00000198938,ENSG00000198804,ENSG00000198899,ENSG00000198886,ENSG00000228253,ENSG00000198763,ENSG00000210082,ENSG00000263900,ENSG00000198840
TCGA-AA-A00O-01A-02R-A089-07,24579.26172,19785.91992,20151.83398,22164.66211,23095.9707,11282.86426,11262.95898,13586.94043,2806.556885,10744.31738
TCGA-NH-A6GA-01A-11R-A37K-07,10804.87988,7834.57666,9187.1875,5975.696289,6736.55127,5744.818359,4457.258789,6653.692383,5657.968262,2650.201904
TCGA-CM-6170-01A-11R-1653-07,16773.25,15853.71191,9845.338867,14692.07227,10047.2041,10601.06445,6338.334473,4958.045898,5321.643066,6818.36084
TCGA-CA-6718-01A-11R-1839-07,6345.423828,4671.883301,7611.606445,5918.802734,5136.535645,4805.150391,2146.964111,2428.5,5409.908691,2102.481689
TCGA-D5-6530-01A-11R-1723-07,19817.17188,16924.97852,22621.7793,14628.71875,16387.86133,12703.72363,7987.102539,12729.0918,3358.931152,7395.107422
TCGA-AA-3664-01A-01R-0905-07,37146.95703,23480.7207,27910.34961,28901.78711,24659.30273,23290.04297,12387.15234,9418.799805,3563.895508,8824.737305
TCGA-A6-5665-01B-03R-2302-07,2603.17041,2865.401855,8447.56543,2686.532227,1989.235962,1142.75769,963.513123,65784.35156,2000.151245,105.462624
TCGA-AD-6899-01A-11R-1928-07,8286.845703,8378.869141,6878.139648,6452.252441,3395.230225,5132.933105,2699.38623,7249.010742,5550.26123,2202.609619
TCGA-DM-A282-01A-12R-A16W-07,36340.10156,31866.31055,19000.07031,51782.14844,30442.55273,37217.73438,30230.44727,1988.116455,4187.042969,12645.03223
TCGA-G4-6309-01A-21R-1839-07,18513.7168,12853.01074,13220.69434,11267.99512,9279.182617,7545.800293,4261.677734,6973.782227,6264.608398,4322.678711
TCGA-AA-3979-01A-01R-1022-07,8751.289062,13109.64648,9308.314453,7190.099609,6070.644043,5663.997559,3508.383057,7620.359863,3913.294678,5697.171387
TCGA-AA-3554-01A-01R-0826-07,11161.13184,8138.122559,12637.60742,7150.740723,7568.614746,3855.62207,2351.134033,4561.743164,16384.82422,2820.082764
TCGA-DM-A28H-01A-11R-A16W-07,32176.125,23765.08789,13357.87793,30312.4375,11151.33789,20752.61914,14555.36914,6275.858887,4416.979004,6969.786133
TCGA-D5-5539-01A-01R-1653-07,17056.98242,11370.43457,13113.88379,9687.817383,8509.59375,7468.993652,7641.106445,4783.38916,4786.314453,5930.064453
TCGA-A6-2679-01A-02R-1410-07,15351.78516,9249.887695,7356.043945,7833.695312,2859.436279,1027.486206,1342.492554,2101.33374,13809.63184,1190.627563
TCGA-3L-AA1B-01A-11R-A37K-07,14249.19727,18445.03125,11197.49414,12034.08984,13364.00488,10492.68066,7123.668457,8575.913086,3927.638184,4469.469238
TCGA-AA-3514-01A-02R-0821-07,9439.03418,4239.036133,9228.760742,5780.794434,4492.989746,1198.885986,1045.293213,1471.164917,47825.93359,957.752258
TCGA-G4-6628-01A-11R-1839-07,7391.222168,5444.52832,7169.476562,5666.332031,5391.844727,3783.249268,3349.492676,1661.398193,5214.816895,2417.521973
TCGA-A6-3808-01A-01R-1022-07,9622.385742,11611.85547,9895.150391,9054.930664,6713.02832,5726.871582,2723.571533,5797.652832,7161.000488,4638.583008
TCGA-AA-A02J-01A-01R-A00A-07,16164.97168,11661.0166,11963.42969,10702.29004,10715.05469,4518.468262,6147.291016,5143.310547,9330.335938,3723.740723
TCGA-AA-3672-01A-01R-0905-07,6648.038086,5213.310059,10121.41504,8585.875977,4856.836426,768.048462,1519.555908,592.739502,22775.66602,894.636047
TCGA-CM-5861-01A-01R-1653-07,18669.10742,13958.37207,21735.48242,16112.46094,11670.2168,11406.64258,4850.339844,11775.86621,3931.131592,7871.202148
