ENSG,ENSG00000198938.2,ENSG00000198712.1,ENSG00000198886.2,ENSG00000198804.2,ENSG00000198840.2,ENSG00000198899.2,ENSG00000198727.2,ENSG00000210082.2,ENSG00000142515.13,ENSG00000263639.4
TCGA-HC-A8CY-01A,7433.99116543,7329.32168574,5597.40037084,7058.71982523,5744.1980571,4778.48364242,5974.49486041,4026.80633752,7330.63920989,322.763393066
TCGA-EJ-5502-01A,4812.84711996,5079.51315955,5212.35398953,5179.93310186,2774.39363546,3250.84009063,3123.21562451,2324.29175078,3875.09235422,2438.55357029
TCGA-G9-6379-01A,8398.16787679,8401.34118231,2358.87062711,3705.82262407,3814.72585774,2236.24272924,1514.04390348,4688.90961993,5120.95300788,20094.8345738
TCGA-EJ-7782-11A,1776.67261143,1441.06635829,1461.89853425,2057.63580966,1433.30405769,1257.38968084,1203.87214457,1666.89042191,4207.10960297,27302.080685
TCGA-HC-8258-11A,7409.35806139,5948.64408726,4636.06845905,7494.92222075,3212.28669081,2979.24447004,2678.39092006,4131.50439996,6.47560231609,4.34749633139
TCGA-KK-A8ID-01A,3951.78123245,3404.62982226,3417.95957159,3132.34741827,2696.75857733,3019.18501008,3483.22494312,923.037377325,5723.26427261,562.786234931
TCGA-EJ-5514-01A,3423.10963903,3456.90443448,2948.6849391,4089.42299075,2326.35224761,2497.36685905,1735.2159405999996,1582.05523307,375.23046377400004,2075.45477775
TCGA-EJ-7331-11A,3645.09632553,3219.40412431,4324.7448861,4296.06111722,1767.21696947,2479.55578176,2677.68140827,1980.02410808,3512.22724639,8665.40458402
TCGA-EJ-7785-01A,3579.9516474,3189.20322263,3461.35678182,4115.57061752,2109.45339546,2911.1277692,2918.13614635,1647.82845824,3060.2996777,654.161490609
TCGA-YL-A9WI-01A,13539.93682,12772.516851,7198.47838445,6932.76511897,4460.744493,7393.14423559,7333.55469365,3566.434892,2919.18790389,337.016007705
TCGA-EJ-7784-11A,2858.26342699,2669.19949433,2454.69315609,3067.95050463,2293.13132481,2291.6992518,1661.03736666,2393.22594712,2711.5273281,12681.9413379
TCGA-V1-A8WN-01A,3834.11388229,4239.56441962,4515.52782408,5726.22321473,2048.83836394,2777.17851421,2927.83184507,2288.98118918,5353.46018529,3260.16392603
TCGA-EJ-7783-01A,5594.80701344,6173.27935829,6165.66539675,6432.11355956,3691.91244443,4722.205161399998,3203.36035768,2581.86629953,1960.0076913,2208.39480509
TCGA-EJ-5542-01A,2324.50284177,2835.94567016,2336.3863895,2811.93864898,1736.84235428,2106.94409716,1553.91468732,1468.95283504,3207.9240059,2504.55363023
TCGA-V1-A8MF-01A,31005.6057373,28490.4766741,25427.9153431,15928.501894,21560.0780972,17183.1682278,19531.8828724,23287.419192400004,3669.20144974,16862.8583932
TCGA-KK-A59Z-01A,31486.0995153,26805.7658382,29120.283103900005,15641.0479658,17748.3550069,19294.1006314,22105.4445236,9456.549889,2558.60664546,176.367583284
TCGA-J4-A67S-01A,7302.8363454,6756.55995635,2453.70636036,3755.20791169,3730.54487225,2209.10437459,2125.07222078,4009.905545,9326.64126977,4288.66153614
TCGA-QU-A6IL-01A,10014.9210959,11610.1054573,2118.09797646,6239.55622147,6479.72473664,2276.9727141,2203.63894269,4945.13161814,10491.034475700002,1527.75198364
TCGA-XK-AAIV-01A,6556.66073273,6574.5269224,5572.65656659,3232.3354055,3323.86678411,4290.0188298,3746.61254869,2216.39239264,1423.18092283,1738.86828525
